Unnamed: 0,item_id,name,category,price,link,short_description,designer,depth,height,width
3223,79229212,EKEDALEN / ODGER,Tables & desks,2765.0,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-6-chairs-dark-brown-white-beige-s79229212/,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,
3224,79277019,MÖCKELBY / ODGER,Tables & desks,4265.0,https://www.ikea.com/sa/en/p/moeckelby-odger-table-and-6-chairs-oak-white-beige-s79277019/,"        Table and 6 chairs,          235x100 cm",J Löfgren/J Pettersson/Marcus Arvonen,,74.0,100.0
3225,79297300,MÖRBYLÅNGA / BALTSAR,Tables & desks,4675.0,https://www.ikea.com/sa/en/p/moerbylanga-baltsar-table-and-4-chairs-oak-veneer-brown-stained-black-blue-s79297300/,"        Table and 4 chairs,          140x85 cm",Carl Öjerstam/S Lanneskog/J Marnell,,,85.0
3226,79304763,NORDVIKEN / NORDVIKEN,Tables & desks,3345.0,https://www.ikea.com/sa/en/p/nordviken-nordviken-table-and-6-chairs-black-black-s79304763/,"        Table and 6 chairs,          210/289x105 cm",Francis Cayouette,,,105.0
3227,79335552,LINNMON / ALEX,Tables & desks,550.0,https://www.ikea.com/sa/en/p/linnmon-alex-table-green-white-s79335552/,"        Table,          150x75 cm",IKEA of Sweden/Johanna Asshoff,,74.0,75.0
3228,89161565,VÄSTANBY/VÄSTANÅ / BERNHARD,Tables & desks,4295.0,https://www.ikea.com/sa/en/p/vaestanby-vaestana-bernhard-table-and-4-chairs-dark-brown-kavat-dark-brown-s89161565/,"        Table and 4 chairs,          170 cm",Chris Martin/Ola Wihlborg/IKEA of Sweden,,75.0,78.0
3229,89280380,NORRÅKER / NORRARYD,Tables & desks,1385.0,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-black-black-s89280380/,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,,104.0,74.0
3230,89280714,MÖRBYLÅNGA / BERNHARD,Tables & desks,5275.0,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-4-chairs-oak-veneer-mjuk-golden-brown-s89280714/,"        Table and 4 chairs,          140x85 cm",Ola Wihlborg/S Lanneskog/J Marnell,,,85.0
3231,89280766,EKEDALEN / BERNHARD,Tables & desks,3775.0,https://www.ikea.com/sa/en/p/ekedalen-bernhard-table-and-4-chairs-white-mjuk-golden-brown-s89280766/,"        Table and 4 chairs,          120/180 cm",Ola Wihlborg/Ehlén Johansson,,,
3232,99221446,EKEDALEN / BERNHARD,Tables & desks,5465.0,https://www.ikea.com/sa/en/p/ekedalen-bernhard-table-and-6-chairs-brown-mjuk-white-s99221446/,"        Table and 6 chairs,          180/240 cm",Ola Wihlborg/Ehlén Johansson,,,
3233,99222257,LINNMON / ALVARET,Tables & desks,465.0,https://www.ikea.com/sa/en/p/linnmon-alvaret-table-white-grey-s99222257/,"        Table,          120x60 cm",IKEA of Sweden/Jomi Evers,,74.0,60.0
3234,99229937,LINNMON / TORSKLINT,Tables & desks,485.0,https://www.ikea.com/sa/en/p/linnmon-torsklint-table-white-light-grey-s99229937/,"        Table,          120x60 cm",Jomi Evers/IKEA of Sweden,,74.0,60.0
3235,90247139,BACKARYD,Tables & desks,195.0,https://www.ikea.com/sa/en/p/backaryd-underframe-white-90247139/,        Underframe,David Wahl,,71.0,74.0
